AcePerl,dev-perl/Ace
App-SVN-Bisect,dev-util/App-SVN-Bisect
Archive-Tar,virtual/perl-Archive-Tar
Attribute-Handlers,virtual/perl-Attribute-Handlers
AutoLoader,virtual/perl-AutoLoader
Autodia,dev-util/autodia
B-Debug,virtual/perl-B-Debug
BioPerl,sci-biology/bioperl
BioPerl-DB,sci-biology/bioperl-db
BioPerl-Network,sci-biology/bioperl-network
BioPerl-Run,sci-biology/bioperl-run
CGI,virtual/perl-CGI
CGI-Simple,dev-perl/Cgi-Simple
CGI-SpeedyCGI,dev-perl/SpeedyCGI
CPAN,virtual/perl-CPAN
CPAN-Meta,virtual/perl-CPAN-Meta
CPAN-Meta-YAML,virtual/perl-CPAN-Meta-YAML
Cache-Mmap,dev-perl/cache-mmap
Carp,virtual/perl-Carp
Class-Loader,dev-perl/class-loader
Class-ReturnValue,dev-perl/class-returnvalue
Compress-Raw-Bzip2,virtual/perl-Compress-Raw-Bzip2
Compress-Raw-Zlib,virtual/perl-Compress-Raw-Zlib
Config-General,dev-perl/config-general
Convert-ASCII-Armour,dev-perl/convert-ascii-armour
Convert-PEM,dev-perl/convert-pem
Crypt-CBC,dev-perl/crypt-cbc
Crypt-DES_EDE3,dev-perl/crypt-des-ede3
Crypt-DH,dev-perl/crypt-dh
Crypt-DSA,dev-perl/crypt-dsa
Crypt-IDEA,dev-perl/crypt-idea
Crypt-Primes,dev-perl/crypt-primes
Crypt-RSA,dev-perl/crypt-rsa
Crypt-Random,dev-perl/crypt-random
DBIx-SearchBuilder,dev-perl/dbix-searchbuilder
DB_File,virtual/perl-DB_File
Data-Buffer,dev-perl/data-buffer
Data-Dumper,virtual/perl-Data-Dumper
Date-Manip,dev-perl/DateManip
Devel-PPPort,virtual/perl-Devel-PPPort
Devel-SelfStubber,virtual/perl-Devel-SelfStubber
Digest,virtual/perl-Digest
Digest-BubbleBabble,dev-perl/digest-bubblebabble
Digest-MD2,dev-perl/digest-md2
Digest-MD5,virtual/perl-Digest-MD5
Digest-SHA,virtual/perl-Digest-SHA
Dumpvalue,virtual/perl-Dumpvalue
Encode,virtual/perl-Encode
Exporter,virtual/perl-Exporter
ExtUtils-CBuilder,virtual/perl-ExtUtils-CBuilder
ExtUtils-Command,virtual/perl-ExtUtils-Command
ExtUtils-Constant,virtual/perl-ExtUtils-Constant
ExtUtils-Depends,dev-perl/extutils-depends
ExtUtils-Install,virtual/perl-ExtUtils-Install
ExtUtils-MakeMaker,virtual/perl-ExtUtils-MakeMaker
ExtUtils-Manifest,virtual/perl-ExtUtils-Manifest
ExtUtils-ParseXS,virtual/perl-ExtUtils-ParseXS
ExtUtils-PkgConfig,dev-perl/extutils-pkgconfig
File-Fetch,virtual/perl-File-Fetch
File-Path,virtual/perl-File-Path
File-Temp,virtual/perl-File-Temp
Filter-Simple,virtual/perl-Filter-Simple
Frontier-RPC,dev-perl/frontier-rpc
GBrowse,sci-biology/GBrowse
Getopt-Long,virtual/perl-Getopt-Long
Glib,dev-perl/glib-perl
Gnome2,dev-perl/gnome2-perl
Gnome2-Canvas,dev-perl/gnome2-canvas
Gnome2-VFS,dev-perl/gnome2-vfs-perl
Gnome2-Wnck,dev-perl/gnome2-wnck
Gtk2,dev-perl/gtk2-perl
Gtk2-Ex-FormFactory,dev-perl/gtk2-ex-formfactory
Gtk2-GladeXML,dev-perl/gtk2-gladexml
Gtk2-Spell,dev-perl/gtk2-spell
Gtk2-TrayIcon,dev-perl/gtk2-trayicon
Gtk2-TrayManager,dev-perl/gtk2-traymanager
Gtk2Fu,dev-perl/gtk2-fu
HTTP-Tiny,virtual/perl-HTTP-Tiny
I18N-LangTags,virtual/perl-I18N-LangTags
IO,virtual/perl-IO
IO-Compress,virtual/perl-IO-Compress
IO-Zlib,virtual/perl-IO-Zlib
IPC-SysV,virtual/perl-IPC-SysV
Image-ExifTool,media-libs/exiftool
Image-Info,dev-perl/ImageInfo
Image-Size,dev-perl/ImageSize
Inline-Files,dev-perl/inline-files
JSON-PP,virtual/perl-JSON-PP
Locale-Maketext,virtual/perl-Locale-Maketext
Locale-Maketext-Fuzzy,dev-perl/locale-maketext-fuzzy
Locale-Maketext-Lexicon,dev-perl/locale-maketext-lexicon
Locale-Maketext-Simple,virtual/perl-Locale-Maketext-Simple
Log-Dispatch,dev-perl/log-dispatch
MIME-Base64,virtual/perl-MIME-Base64
Math-BigInt,virtual/perl-Math-BigInt
Math-BigInt-FastCalc,virtual/perl-Math-BigInt-FastCalc
Math-BigRat,virtual/perl-Math-BigRat
Math-Complex,virtual/perl-Math-Complex
Math-Pari,dev-perl/math-pari
Memoize,virtual/perl-Memoize
Module-Build,virtual/perl-Module-Build
Module-CoreList,virtual/perl-Module-CoreList
Module-Info,dev-perl/module-info
Module-Load,virtual/perl-Module-Load
Module-Load-Conditional,virtual/perl-Module-Load-Conditional
Module-Loaded,virtual/perl-Module-Loaded
Module-Metadata,virtual/perl-Module-Metadata
Module-Pluggable,virtual/perl-Module-Pluggable
MogileFS-Server,dev-perl/mogilefs-server
NEXT,virtual/perl-NEXT
NTLM,dev-perl/Authen-NTLM
Net-Ping,virtual/perl-Net-Ping
Net-SFTP,dev-perl/net-sftp
Net-SSH-Perl,dev-perl/net-ssh-perl
Net-Server,dev-perl/net-server
OLE-Storage_Lite,dev-perl/OLE-StorageLite
Ogg-Vorbis-Header,dev-perl/ogg-vorbis-header
Package-Constants,virtual/perl-Package-Constants
Padre,app-editors/padre
Params-Check,virtual/perl-Params-Check
Parse-CPAN-Meta,virtual/perl-Parse-CPAN-Meta
PathTools,virtual/perl-File-Spec
Perl-OSType,virtual/perl-Perl-OSType
Perl-Tidy,dev-perl/perltidy
Pod-Checker,virtual/perl-Pod-Checker
